vehicleID,vehicleLID,diffBrakingDistanceMin,diffBrakingDistanceMax,diffBrakingDistanceValue,brakingDistanceMin,brakingDistanceMax,brakingDistanceValue,distanceMin,distanceMax,distanceValue,distanceTimestamp,vehPosMin,vehPosMax,vehPosValue,vehPosTimestamp,vehSpeedMin,vehSpeedMax,vehSpeedValue,vehSpeedTimestamp,refPosMin,refPosMax,refPosValue,refPosTimestamp,refSpeedMin,refSpeedMax,refSpeedValue,refSpeedTimestamp,vehDiseredDistance,refLength,currentTime
Vehicle3,Vehicle2,63.590372,63.590372,64.199425,40.775490,40.775490,42.158387,24.612695,24.612695,24.602202,145067715.392600,64.928696,64.928696,64.928696,145067715.392600,57.115705,57.115705,57.115705,145067715.392600,92.541391,92.541391,92.541391,145067715.392600,79.881928,79.881928,79.881928,145067715.392600,5.000000,3.000000,145067715.392600
Vehicle3,Vehicle2,62.993677,62.993677,63.618019,42.124069,42.124069,43.571843,24.577932,24.577932,24.566695,145067836.715800,67.670946,67.670946,67.670946,145067836.715800,58.057718,58.057718,58.057718,145067836.715800,95.248879,95.248879,95.248879,145067836.715800,80.274543,80.274543,80.274543,145067836.715800,5.000000,3.000000,145067836.715800
Vehicle3,Vehicle2,62.284353,62.284353,62.826199,43.479566,43.479566,44.754900,24.459399,24.459399,24.450334,145067946.940600,70.260838,70.260838,70.260838,145067946.940600,58.977697,58.977697,58.977697,145067946.940600,97.720237,97.720237,97.720237,145067946.940600,80.651356,80.651356,80.651356,145067946.940600,5.000000,3.000000,145067946.940600
Vehicle3,Vehicle2,61.510131,61.510131,61.984006,44.802778,44.802778,45.960617,24.271015,24.271015,24.263698,145068047.275300,72.708969,72.708969,72.708969,145068047.275300,59.875764,59.875764,59.875764,145068047.275300,99.979984,99.979984,99.979984,145068047.275300,81.014702,81.014702,81.014702,145068047.275300,5.000000,3.000000,145068047.275300
Vehicle3,Vehicle2,60.783118,60.783118,61.309040,46.133184,46.133184,47.441617,24.163844,24.163844,24.154354,145068163.041100,75.434696,75.434696,75.434696,145068163.041100,60.752144,60.752144,60.752144,145068163.041100,102.598540,102.598540,102.598540,145068163.041100,81.364838,81.364838,81.364838,145068163.041100,5.000000,3.000000,145068163.041100
Vehicle3,Vehicle2,59.949044,59.949044,60.382946,47.440715,47.440715,48.535757,23.957205,23.957205,23.950302,145068263.212900,77.916496,77.916496,77.916496,145068263.212900,61.607298,61.607298,61.607298,145068263.212900,104.873701,104.873701,104.873701,145068263.212900,81.699960,81.699960,81.699960,145068263.212900,5.000000,3.000000,145068263.212900
Vehicle3,Vehicle2,59.195780,59.195780,59.679610,48.725354,48.725354,49.995502,23.832055,23.832055,23.823067,145068379.465800,80.692506,80.692506,80.692506,145068379.465800,62.441325,62.441325,62.441325,145068379.465800,107.524560,107.524560,107.524560,145068379.465800,82.023467,82.023467,82.023467,145068379.465800,5.000000,3.000000,145068379.465800
Vehicle3,Vehicle2,58.431311,58.431311,58.930526,50.014272,50.014272,51.301129,23.725759,23.725759,23.716167,145068501.384200,83.589341,83.589341,83.589341,145068501.384200,63.254728,63.254728,63.254728,145068501.384200,110.315100,110.315100,110.315100,145068501.384200,82.333038,82.333038,82.333038,145068501.384200,5.000000,3.000000,145068501.384200
Vehicle3,Vehicle2,57.643656,57.643656,58.097437,51.270983,51.270983,52.466240,23.575199,23.575199,23.566819,145068617.159800,86.399406,86.399406,86.399406,145068617.159800,64.047806,64.047806,64.047806,145068617.159800,112.974605,112.974605,112.974605,145068617.159800,82.630216,82.630216,82.630216,145068617.159800,5.000000,3.000000,145068617.159800
Vehicle3,Vehicle2,56.759689,56.759689,57.137298,52.513941,52.513941,53.533987,23.337563,23.337563,23.331468,145068717.553400,88.951190,88.951190,88.951190,145068717.553400,64.820810,64.820810,64.820810,145068717.553400,115.288752,115.288752,115.288752,145068717.553400,82.916369,82.916369,82.916369,145068717.553400,5.000000,3.000000,145068717.553400
